Location,Sub_location,Site_name,Year,Orbicella_annularis,Agaricia_agaricites,Agaricia_humilis,Colpophyllia_natans,Dendrogyra_cylindrica,Dichocoenia_stokesii,Diploria_labyrinthiformis,Pseudodiploria_strigosa,Eusmilia_fastigiata,Favia_fragum,Madracis_decactis,Montastraea_cavernosa,Orbicella_faveolata,Orbicella_franksi,Meandrina_meandrites,Mussa_angulosa,Porites_astreoides,Porites_porites,Stephanocoenia_intersepta,Siderastrea_radians,Siderastrea_siderea,Madracis_mirabilis,Mancina_areolata,Porites_furcata,Mycetophyllia_aliciae,Acropora_cervicornis,Acropora_palmata,Isophyllia_sinuosa,Scolymia_cubensis,Porites_divaricata,Mycetophyllia_lamarckiana,Total_Coral_Cover
USVI,St_John,Cabritte,1992,0.78,0.96,0.96,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.12,0.00,0.24,0.36,0.00,1.16,0.03,0.37,0.00,2.50,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.55
USVI,St_John,Cabritte,1993,0.94,1.26,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,1.55,0.22,0.00,0.00,2.92,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,8.69
USVI,St_John,Cabritte,1994,0.17,1.66,0.00,0.00,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.03,0.00,1.46,0.14,0.00,0.00,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.57
USVI,St_John,Cabritte,1995,0.24,2.42,0.27,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.15,0.00,0.15,0.00,0.06,1.27,0.09,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
USVI,St_John,Cabritte,1996,0.26,0.41,0.65,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.03,0.44,0.00,0.00,0.00,0.00,2.28,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,6.13
USVI,St_John,Cabritte,1997,1.53,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,1.58,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.12
USVI,St_John,Cabritte,1998,3.03,0.59,0.25,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.53,0.22,0.00,0.06,0.00,2.03,0.00,0.00,0.03,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.88
USVI,St_John,Cabritte,1999,0.00,0.00,0.24,0.12,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,1.43,0.06,0.00,0.00,2.09,0.00,0.00,0.00,0.00,1.00,0.03,0.00,0.00,0.00,0.00,5.08
USVI,St_John,Cabritte,2000,0.62,0.61,0.04,0.00,0.79,0.00,0.16,0.28,0.03,0.00,0.00,0.60,0.22,0.15,0.00,0.00,0.98,0.00,0.00,0.01,0.89,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.42
USVI,St_John,Cabritte,2001,2.58,0.90,0.04,0.00,1.38,0.00,0.00,0.09,0.00,0.00,0.00,1.74,0.03,0.24,0.12,0.00,1.42,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.88
USVI,St_John,Cabritte,2002,3.03,0.48,0.00,0.00,1.16,0.00,0.00,0.31,0.00,0.00,0.00,0.94,0.00,0.07,0.00,0.00,1.54,0.00,0.06,0.02,1.06,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70
USVI,St_John,Cabritte,2003,1.77,0.95,0.00,0.00,2.95,0.04,0.03,0.29,0.00,0.00,0.00,0.74,0.00,0.00,0.30,0.00,1.08,0.04,0.00,0.08,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68
USVI,St_John,Cabritte,2004,0.08,1.68,0.03,0.00,1.78,0.00,0.09,0.05,0.00,0.00,0.00,0.78,0.84,0.73,0.21,0.00,1.65,0.05,0.00,0.05,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,10.01
USVI,St_John,Cabritte,2005,0.68,1.76,0.48,0.00,0.00,0.00,0.11,0.03,0.08,0.04,0.04,0.50,2.45,0.00,0.00,0.00,1.21,0.06,0.00,0.06,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.53
USVI,St_John,Cabritte,2006,0.44,0.00,0.00,0.00,2.08,0.00,0.10,0.16,0.00,0.00,0.00,1.00,1.10,0.07,0.17,0.00,0.87,0.01,0.00,0.04,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.84
USVI,St_John,Cabritte,2007,0.49,0.03,0.04,0.00,0.12,0.00,0.13,0.08,0.00,0.00,0.00,0.21,0.28,0.10,0.09,0.00,1.37,0.01,0.00,0.01,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.59
USVI,St_John,Cabritte,2008,0.09,0.00,0.18,0.00,0.10,0.00,0.11,0.29,0.00,0.01,0.00,0.01,1.28,0.00,0.03,0.00,1.29,0.09,0.00,0.01,0.79,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.31
USVI,St_John,Cabritte,2009,1.29,0.18,0.03,0.00,0.00,0.00,0.03,0.10,0.00,0.00,0.09,0.32,0.00,0.03,0.03,0.00,1.46,0.05,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02
USVI,St_John,Cabritte,2010,1.32,0.36,0.00,0.00,1.93,0.00,0.00,0.21,0.00,0.01,0.00,0.01,0.00,0.00,0.08,0.00,1.80,0.19,0.00,0.08,2.06,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.21
USVI,St_John,Cabritte,2011,0.87,0.34,0.00,0.16,0.03,2.15,0.20,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.03,0.23,1.96,0.08,0.06,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.75
USVI,St_John,Cabritte,2012,0.59,0.53,0.00,0.00,2.81,0.00,0.10,0.05,0.00,0.00,1.39,0.88,0.02,0.00,0.16,0.00,1.19,0.24,0.03,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.98
USVI,St_John,Cabritte,2013,0.08,0.18,0.28,0.00,0.66,0.00,0.00,0.31,0.01,0.00,0.00,0.21,1.00,0.00,0.00,0.00,0.64,0.04,0.05,0.01,1.54,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.09
USVI,St_John,Cabritte,2014,0.00,0.51,0.01,0.08,0.04,0.00,0.04,0.04,0.00,0.00,0.11,0.10,0.91,0.00,0.23,0.00,1.03,0.05,0.05,0.05,2.56,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.03
USVI,St_John,Cabritte,2015,0.59,0.41,0.00,0.05,0.06,0.00,0.03,0.14,0.00,0.00,0.00,0.14,2.20,0.16,0.23,0.00,0.85,0.10,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.18
USVI,St_John,East_Tektite,1992,0.00,0.12,0.15,0.00,0.00,0.04,0.12,0.03,0.00,0.00,0.00,0.79,0.00,1.88,0.00,0.00,0.22,0.03,0.22,0.04,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.52
USVI,St_John,East_Tektite,1993,0.43,0.35,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,1.79,0.00,1.85,0.03,0.00,0.18,0.35,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.05
USVI,St_John,East_Tektite,1994,2.57,0.73,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.25,0.14,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.64
USVI,St_John,East_Tektite,1995,2.75,0.06,0.72,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.50,0.03,0.12,0.00,3.15,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.32
USVI,St_John,East_Tektite,1996,0.47,0.41,0.00,0.00,0.00,0.00,0.13,0.08,0.00,0.00,0.00,0.56,0.00,1.10,0.00,0.00,0.33,0.13,0.00,0.00,1.51,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.72
USVI,St_John,East_Tektite,1997,1.40,0.23,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.32,0.06,0.00,0.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39
USVI,St_John,East_Tektite,1998,3.00,0.29,0.03,0.00,0.00,0.00,0.00,0.76,0.03,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.06,0.18,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74
USVI,St_John,East_Tektite,1999,1.30,0.03,0.00,0.00,0.00,0.00,0.00,0.87,0.11,0.00,0.00,1.39,0.00,0.00,0.00,0.00,0.47,0.37,0.00,0.00,1.78,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.34
