Location,Sub_location,Site_name,Year,Acropora_cervicornis,Agaricia_fragilis,Agaricia_sp,Agaricia_grahamae,Agaricia_lamarcki,Acropora_palmata,Acropora_prolifera,Agaricia_undata,Colpophyllia_natans,Unknown_sp,Unknown_juv,Dendrogyra_cylindrica,Diploria_labyrinthiformis,Dichocoenia_stokesii,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_rigida,Isophyllia_sinuosa,Madracis_sp,Millepora_alcicornis,Mycetophyllia_aliciae,Mussa_angulosa,Mancina_areolata,Madracis_aurentenra,Montastraea_cavernosa,Millepora_complanata,Mycetophyllia_danaana,Madracis_decactis,Mycetophyllia_ferox,Madracis_formosa,Millepora_sp,Meandrina_jacksoni,Mycetophyllia_lamarckiana,Meandrina_meandrites,Madracis_pharensis,Madracis_senaria,Millepora_squarrosa,Mycertophyllia_sp,Orbicella_annularis,Oculina_diffusa,Orbicella_faveolata,Orbicella_franksi,Orbicella_sp,Porites_astreoides,Porites_branneri,Porites_branching_sp,Pseudodiploria_clivosa,Porites_divaricata,Porites_furcata,Porites_porites,Pseudodiploria_sp,Pseudodiploria_strigosa,Solanastrea_bournoni,Scolymia_sp,Scolymia_cubensis,Solanastrea_hyades,Siderastrea_sp,Stephanocoenia_intersepta,Scolymia_lacera,Solanastrea_sp,Siderastrea_radians,Siderastrea_siderea,Tubastrea_aurea,Undaria_agaricites,Undaria_humilis,Undaria_sp,Undaria_tenuifolia,Total_Coral_Cover
USVI,St_John,Haulover,2003,0.07,0,0,0,0,0,0,0,0.3,0.45,0,0,0.04,0,0,0,0,0,0,0,0.22,0,0,0,0.02,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56,0,0.51,0.46,4.48,0.52,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,22.06
USVI,St_John,Haulover,2004,0.02,0,0,0,0,0,0,0,0.35,0.26,0,0,0.06,0,0,0,0,0,0,0,0.13,0,0,0,0,0.15,0,0.04,0,0,0,0,0,0,0.02,0,0,0,0,15.36,0,0.13,0,3.62,0.54,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0.02,0,0,0,0.18,0,0.25,0,0,0,22.19
USVI,St_John,Haulover,2005,0.03,0,0,0,0,0,0,0,0.25,0.39,0,0,0.09,0,0,0,0,0,0,0,0.1,0.01,0,0,0,0.21,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,15.47,0,0.13,0.87,2.48,0.53,0,0,0,0,0,0.66,0,0.02,0,0,0,0,0,0.01,0,0,0,0.15,0,0.33,0,0,0,21.75
USVI,St_John,Haulover,2006,0.02,0,0,0,0,0,0,0,0.09,0.22,0,0,0.09,0,0,0,0,0,0,0,0.06,0,0,0,0,0.14,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,10.34,0,0.1,0.23,1.94,0.46,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.01,0,0,0,14.58
USVI,St_John,Haulover,2007,0.02,0,0,0,0,0,0,0,0.08,0.23,0,0,0.06,0,0,0,0,0,0,0,0.07,0,0,0,0,0.1,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0.05,6.87,0,0.45,0.21,0.66,0.55,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,10.42
USVI,St_John,Haulover,2008,0,0,0,0,0,0,0,0,0.15,0.7,0,0,0.06,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0.1,0.02,0,0.02,0,0,0,0,0,0,0,0,0.02,0.04,6.01,0,0.08,0.17,0.73,0.72,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.09,0,0,0,10.25
USVI,St_John,Haulover,2009,0.03,0,0,0,0,0,0,0,0.07,0.11,0,0,0.1,0,0,0,0.01,0,0,0,0.06,0,0,0,0,0.05,0.01,0,0,0.03,0,0,0,0.01,0,0,0,0,0.04,5.49,0,0.23,0.26,0.73,0.82,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0.03,0,0,0.01,0.22,0,0.17,0,0,0,9.5
USVI,St_John,Haulover,2010,0.01,0,0,0.01,0,0,0,0,0.1,0.08,0,0,0.07,0,0,0,0,0,0,0,0.09,0.03,0,0,0,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,6.75,0,0.2,0.31,0.62,0.77,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0.01,0,0,0,0.27,0,0.13,0,0,0,11.07
USVI,St_John,Haulover,2011,0.02,0,0.02,0,0,0,0,0,0.11,0.11,0,0,0.08,0,0,0,0,0,0,0,0.17,0.03,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0.39,0.37,0.81,0.84,0,0,0,0,0,1.46,0,0.01,0,0,0,0,0,0.03,0,0,0,0.32,0,0.2,0,0,0,10.65
USVI,St_John,Haulover,2012,0,0,0,0,0,0,0,0,0.04,0.13,0,0,0.05,0,0,0,0,0,0,0,0.16,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0.6,0.3,0.4,0.89,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.09,0,0,0,10.4
USVI,St_John,Haulover,2013,0,0,0,0,0,0,0,0,0.01,0.12,0.02,0,0.02,0,0,0,0,0,0,0,0.11,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,0.34,0.62,0.55,0.74,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0.05,0,0,0,0.22,0,0.11,0,0,0,9.95
USVI,St_John,Haulover,2014,0,0,0,0,0.03,0,0,0,0.07,0.03,0,0,0.11,0,0,0,0,0,0,0,0.17,0,0,0,0,0.11,0.03,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0.41,0.36,0.06,0.8,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.04,0,0,0,10.46
USVI,St_John,Haulover,2015,0,0,0,0,0.01,0,0,0,0.07,0.04,0,0,0.03,0,0,0,0,0,0,0,0.12,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0.43,0.3,0.46,0.88,0,0,0,0,0.02,1.21,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.09,0,0,0,10.33
USVI,St_John,Mennebeck,2000,0.02,0,0,0,0,0,0,0,0.17,0.04,0,0,0.14,0,0,0,0,0,0,0,0.04,0,0,0,0.29,0.15,0,0,0.02,0,0,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0.55,0,0,0,0,0,0.51,0,0.02,0,0,0,0,0,0,0,0,0,0.25,0,0.16,0,0,0,22.84
USVI,St_John,Mennebeck,2001,0.02,0,0,0,0,0,0,0,0.19,0.22,0,0,0.14,0,0.02,0.02,0,0,0,0,0.04,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0,0.04,0,0,0,0,14.57,0,1.18,1.71,0.53,0.8,0,0,0,0,0,0.57,0,0.05,0,0,0,0,0,0,0,0,0,0.43,0,0.09,0,0,0,20.84
USVI,St_John,Mennebeck,2002,0,0,0,0,0,0,0,0,0.3,0.02,0,0,0.09,0,0,0.02,0,0,0,0,0.21,0,0,0,0.23,0.18,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,16.98,0,0.5,1.71,0.39,0.64,0,0,0,0,0.02,0.88,0,0.02,0,0,0,0,0,0,0,0,0,0.53,0,0.32,0,0,0,23.07
USVI,St_John,Mennebeck,2003,0,0,0,0,0,0,0,0,0.22,0.11,0,0,0.17,0,0,0,0,0,0,0,0.11,0,0,0,0.09,0.12,0,0,0.02,0,0,0,0,0,0,0,0,0,0,17.72,0,0.04,3,0.66,0.94,0,0,0,0,0,0.85,0,0.04,0,0,0,0,0,0,0,0,0,0.66,0,0.26,0,0,0,25
USVI,St_John,Mennebeck,2004,0,0,0,0,0,0,0,0,0.23,0,0,0,0.18,0,0,0,0,0,0,0,0.18,0.03,0,0,0.07,0.14,0,0,0.09,0,0,0,0,0,0,0,0,0,0,20.96,0,0,2.51,0,0.8,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.32,0,0,0,26.65
USVI,St_John,Mennebeck,2005,0,0,0,0,0,0,0,0,0.26,0.04,0,0,0.12,0,0,0,0,0,0,0,0.27,0,0,0,0.06,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.01,15.82,0,0.18,2.21,0.67,0.81,0,0,0,0,0,0.67,0,0.01,0,0,0,0,0,0,0,0,0,0.64,0,0.18,0,0,0,22.03
USVI,St_John,Mennebeck,2006,0,0,0,0,0,0,0,0,0.07,0.24,0,0,0.09,0,0,0,0,0.01,0,0,0.06,0.01,0,0,0.05,0.09,0.09,0,0.01,0,0,0,0,0,0.02,0,0,0,0,9.46,0,0,0.43,1.48,0.9,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0.01,0,0,0,14.06
USVI,St_John,Mennebeck,2007,0,0,0,0,0,0.02,0,0,0.07,0.18,0,0,0.07,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0.06,1.32,1.01,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0.04,0,0,0,0.61,0,0.02,0,0,0,9.58
USVI,St_John,Mennebeck,2008,0,0,0,0,0,0,0,0,0.05,0.25,0,0,0.15,0,0.01,0,0,0,0,0,0.17,0,0,0,0.04,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0.17,0,0.65,0.97,0,0,0,0,0,1.18,0,0.01,0,0,0,0,0,0.03,0,0,0,0.51,0,0.17,0,0,0,10.19
USVI,St_John,Mennebeck,2009,0,0,0,0,0,0,0,0,0.19,0.09,0,0,0.15,0,0.01,0.02,0,0,0,0,0.1,0,0,0,0.02,0.09,0.17,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0.31,0.21,0.43,1.22,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0.04,0,0,0,0.58,0,0.45,0,0,0,12.21
USVI,St_John,Mennebeck,2010,0,0,0,0,0,0,0,0,0.12,0.14,0,0,0.16,0,0,0.02,0.01,0,0,0,0.12,0,0,0,0.05,0.03,0.18,0,0.01,0,0,0,0,0,0,0,0,0,0,7.05,0,0.16,0.34,0.38,1.32,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0.01,0,0,0,0.48,0,0.31,0,0,0,12.31
USVI,St_John,Mennebeck,2011,0.02,0,0.03,0,0,0,0,0,0.11,0.15,0,0,0.15,0,0,0,0.01,0,0,0,0.19,0,0,0,0.02,0.06,0.11,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0.37,0.45,0.56,1.07,0,0.24,0,0,0,1.19,0,0,0,0,0,0,0,0.04,0,0,0,0.43,0,0.28,0,0,0,12.27
USVI,St_John,Mennebeck,2012,0,0,0,0,0,0,0,0,0.12,0.28,0,0,0.1,0,0,0,0,0,0,0,0.19,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,6.83,0,0.62,0.52,0.48,1.07,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0.01,0,0,0,0.58,0,0.29,0,0,0,12.4
USVI,St_John,Mennebeck,2013,0,0,0,0,0,0,0,0,0.18,0.06,0,0,0.08,0,0,0,0.03,0,0,0,0.16,0,0,0,0,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0.45,0.77,0.32,1.34,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0.02,0,0,0,0.53,0,0.24,0,0,0,12.19
USVI,St_John,Mennebeck,2014,0,0,0,0,0,0,0,0,0.08,0.16,0,0,0.01,0,0,0,0,0,0,0,0.22,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0.56,0.37,0.88,1.1,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0.01,0,0,0,0.58,0,0.23,0,0,0,12.04
USVI,St_John,Mennebeck,2015,0,0,0,0,0,0,0,0,0.05,0.03,0.06,0,0.06,0,0,0,0,0,0,0,0.19,0,0,0,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0.07,0.19,1.39,0.68,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.18,0,0,0,11.34
USVI,St_John,Newfound,1999,0,0,0,0,0,0,0,0,0.12,0.87,0.02,0,0.66,0,0.02,0.02,0,0,0,0,0.08,0,0,0,0,0.97,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,12.72,0,0,0,0,0.73,0,0,0,0,0,0.24,0,0.15,0,0,0,0,0,0,0,0,0,0.98,0,0.31,0,0,0,17.92
USVI,St_John,Newfound,2000,0.02,0,0,0,0,0,0,0,0.1,0.61,0,0,0.28,0,0.08,0,0,0,0,0,0.04,0,0,0,0,0.74,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,10.73,0,0,0,0,0.39,0,0,0,0,0,0.07,0,0.04,0,0,0,0,0,0,0,0,0,0.53,0,0.08,0,0,0,13.8
USVI,St_John,Newfound,2001,0.02,0,0,0,0,0,0,0,0.29,0.37,0,0,0.59,0,0.02,0,0,0,0,0,0.04,0,0,0,0,0.57,0,0,0,0,0,0,0,0.02,0,0,0,0,0,2.09,0,1.06,0.52,5.35,0.26,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.25,0,0,0,12.05
USVI,St_John,Newfound,2002,0.02,0,0,0,0,0,0,0,0.02,0.29,0,0.07,0.22,0,0.06,0,0,0,0,0,0.13,0,0,0,0,0.71,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,2.45,0,1.74,2.29,3.48,0.59,0,0,0,0,0,0.52,0,0.02,0,0,0,0,0,0.07,0,0,0,0.51,0,0.34,0,0,0,13.56
USVI,St_John,Newfound,2003,0.06,0,0,0,0,0,0,0,0.1,0.22,0,0.09,0.21,0,0.09,0,0,0,0,0,0.08,0,0,0,0,0.6,0,0.06,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0.09,0.37,6.83,0.73,0,0,0,0,0,0.56,0,0.05,0,0,0,0,0,0,0,0,0,0.45,0,0.35,0,0,0,12.98
USVI,St_John,Newfound,2004,0.06,0,0,0,0,0,0,0,0.22,0.33,0,0,0.35,0,0.02,0.02,0,0,0,0,0.13,0,0,0,0,0.84,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0.02,6.81,0.57,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.39,0,0,0,13.62
USVI,St_John,Newfound,2005,0.07,0,0,0,0,0,0,0,0.17,0.32,0,0.06,0.45,0.01,0.01,0.01,0,0,0,0,0.09,0,0,0,0,0.6,0,0,0,0.02,0,0,0,0,0,0,0,0,0.03,3.71,0,0.49,1.98,2.82,0.55,0,0,0,0,0,0.44,0,0.04,0,0,0,0,0,0.02,0,0,0,0.42,0,0.28,0,0,0,12.59
USVI,St_John,Newfound,2006,0.22,0,0,0,0,0.01,0,0,0.05,0.27,0,0.03,0.25,0,0.05,0,0,0,0,0,0.09,0,0,0,0.01,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.03,2.3,0,0.13,0.42,2.12,0.53,0,0,0,0,0,0.36,0,0.02,0,0,0,0,0,0.02,0,0,0,0.44,0,0,0,0,0,7.75
USVI,St_John,Newfound,2007,0,0,0,0,0,0.02,0,0,0.03,0.24,0,0,0.26,0,0.03,0,0,0,0,0,0.13,0,0,0,0,0.58,0,0,0,0,0,0,0,0.04,0,0,0,0,0.02,2,0,0.06,0.2,0.99,0.61,0,0,0,0,0,0.28,0,0.07,0,0,0,0,0,0.02,0,0,0,0.33,0,0,0,0,0,5.9
USVI,St_John,Newfound,2008,0,0,0,0,0,0,0,0,0.04,0.17,0,0,0.25,0,0.01,0,0,0,0,0,0.13,0,0,0,0,0.35,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,1.01,0,0.24,0.31,0.58,0.81,0,0,0,0,0,0.55,0,0.06,0,0,0,0,0,0.02,0,0,0,0.31,0,0.04,0,0,0,4.89
USVI,St_John,Newfound,2009,0,0,0,0,0,0,0,0,0.03,0.1,0,0,0.34,0,0,0,0,0,0,0,0.12,0,0,0.02,0,0.56,0,0,0,0,0,0,0,0.01,0,0,0,0,0,1.28,0,0.3,0.31,0.8,0.88,0,0,0,0,0,0.61,0,0.02,0,0,0,0,0,0.04,0,0,0,0.51,0,0.13,0,0,0,6.06
USVI,St_John,Newfound,2010,0,0,0,0,0,0,0,0,0.04,0.05,0,0.01,0.21,0,0.02,0.01,0.01,0,0,0,0.17,0,0,0,0,0.44,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,1.56,0,0.22,0.37,0.55,0.89,0,0,0,0,0,0.67,0,0.03,0,0.01,0,0,0,0.01,0,0,0,0.5,0,0.12,0,0,0,5.9
USVI,St_John,Newfound,2011,0,0,0,0,0,0,0,0,0.08,0.09,0,0,0.14,0,0,0,0.02,0,0,0,0.18,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.41,0.6,0.23,0.66,0,0,0,0,0,0.7,0,0.06,0,0,0,0,0,0,0,0,0,0.52,0,0.11,0,0,0,5.88
USVI,St_John,Newfound,2012,0,0,0,0,0,0,0,0,0.05,0.06,0,0.01,0.06,0,0.02,0,0,0,0,0,0.14,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0.2,0.26,0.28,0.96,0,0,0,0,0,0.79,0,0.11,0,0,0,0,0,0.03,0,0,0,0.46,0,0.08,0,0,0,5.43
USVI,St_John,Newfound,2013,0,0,0,0,0,0,0,0,0.03,0.05,0,0,0.05,0,0,0,0.02,0,0,0,0.17,0,0,0.01,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0.53,0.69,0.25,0.86,0,0,0,0,0,0.75,0,0.06,0,0,0,0,0,0,0,0,0,0.34,0,0.15,0,0,0,5.99
USVI,St_John,Newfound,2014,0,0,0,0,0,0,0,0,0.09,0.05,0,0.02,0.03,0,0.02,0,0.02,0,0,0,0.18,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.18,0.68,0.46,0.89,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.02,0,0,0,0.37,0,0.18,0,0,0,5.29
USVI,St_John,Newfound,2015,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0,0.02,0,0.02,0,0,0,0,0,0.15,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0.2,0.32,0.37,0.66,0,0,0,0,0,0.54,0,0.04,0,0,0,0,0,0.05,0,0,0,0.35,0,0.12,0,0,0,4.99
USVI,St_John,Tektite_2,2005,0,0,0,0,0,0,0,0,0.72,0.26,0,0,0.19,0,0.03,0,0,0,0,0,0.04,0.01,0,0,0,0.21,0,0,0.01,0.02,0,0,0,0,0.02,0,0,0,0.01,8.63,0,0.23,5.49,3.56,0.39,0,0,0,0,0,0.39,0,0.26,0,0,0,0,0,0.04,0,0,0,0.61,0,0.32,0,0,0,21.45
