Corals,Rates
Acropora cervicornis,46.7
Acropora palmata,24.0
Acropora prolifera,26.6
Agaricia fragilis,4.8
Agaricia lamarcki,4.8
Cladocora arbuscula,5.1
Colpophyllia natans,5.9
Dendrogyra cylindrus,19.1
Dichoenia stokesi,13.2
Diploria labyrinthiformis,4.6
Eusmilia fastigiata,9.1
Favia fragum,5.2
Helioseris cucullata,4.8
Isophyllia rigida,4.4
Isophyllia sinuosa,4.4
Madracis auretenra,5.8
Madracis decactis complex,27.5
Manicina areolata,5.9
Meandrina meandrites,1.7
Millepora alcicornis,28.1
Millepora complanata,28.1
Montastraea cavernosa,10.8
Mussa angulosa,4.4
Mycetophyllia aliciae,4.4
Mycetophyllia ferox,4.4
Mycetophyllia lamarckiana complex,4.4
Oculina diffusa,5.1
Oculina robusta,5.1
Orbicella annularis complex,10.5
Porites astreoides,6.3
Porites porites complex,8.5
Pseudodiploria clivosa,5.7
Pseudodiploria strigosa,5.3
Scleractinia,9.0
Scolymia spp.,4.4
Siderastrea radians,3.2
Siderastrea siderea,7.4
Solenastrea bournoni,14.1
Stephanocoenia intersepta,5.4
Agaricia agaricites,4.0
