Coral,Rates
Cyphastrea ocellina,5.7
Fungia scutaria,14.5
Leptastrea bottae,3.1
Leptastrea purpurea,3.1
Leptoseris incrustans,28.8
Montipora capitata,28.0
Montipora flabellata,28.0
Montipora patula,28.0
Montipora studeri,28.0
Pavona duerdeni,18.9
Pavona maldivensis,20.8
Pavona varians,7.3
Pocillopora damicornis,7.9
Pocillopora eydouxi,12.5
Pocillopora ligulata,4.1
Pocillopora meandrina,5.3
Porites brighami,4.3
Porites bernardi,3.4
Porites compressa,8.6
Porites lobata,14.6
Porites lutea,15.7
Porites monticulosa,36.4
Porite rus,14.6
Psammocora nierstraszi,8.0
Psammocora stellata,8.0
Psammocora verrilli,8.0
Unkown Coral,14.1
