Coral,Rates
Orbicella annularis,13.3
Agaricia agaricites,4
Agaricia humilis,4.8
Colpophyllia natans,5.9
Dendrogyra cylindrus,19.1
Dichoenia stokesi,13.2
Diploria labyrinthiformis,4.6
Pseudodiploria strigosa,5.3
Eusmilia fastigiata,9.1
Favia fragum,5.2
Madracis decactis,27.5
Montastraea cavernosa,10.8
Orbicella faveolata,12
Orbicella franksi,9.1
Meandrina meandrites,1.7
Mussa angulosa,4.4
Porites astreoides,6.3
Porites porites,8.5
Stephanocoenia intersepta,5.4
Siderastrea radians,3.2
Siderastrea siderea,7.4
Madracis mirabilis,5.8
Manicina areolata,5.9
Porites furcata,6.7
Mycetophyllia aliciae,4.4
Acropora cervicornis,46.7
Acropora palmata,24
Isophyllia sinuosa,4.4
Scolymia cubensis,4.4
Porites divaricata,8.5
Mycetophyllia lamarckiana,4.4
