Coral,Rates
Acropora cervicornis,46.7
Agaricia fragilis,4.8
Agaricia spp.,4.6
Agaricia grahamae,4.8
Agaricia lamarcki,4.8
Acropora palmata,24
Acropora prolifera,26.6
Agaricia undata,4.8
Colpophyllia natans,5.9
Scleractinia,9
Scleractinia,9
Dendrogyra cylindrus,19.1
Diploria labyrinthiformis,4.6
Dichoenia stokesi,13.2
Eusmilia fastigiata,9.1
Favia fragum,5.2
Helioseris cucullata,4.8
Isophyllia rigida,4.4
Isophyllia sinuosa,4.4
Madracis sp.,19.7
Millepora alcicornis,28.1
Mycetophyllia aliciae,4.4
Mussa angulosa,4.4
Manicina areolata,5.9
Madracis auretenra,5.8
Montastraea cavernosa,10.8
Millepora complanata,28.1
Mycetophyllia danaana,4.4
Madracis decactis,27.5
Mycetophyllia ferox,4.4
Madracis formosa,17.2
Millepora sp.,28.1
Meandrina jacksoni,1.7
Mycetophyllia lamarckiana,4.4
Meandrina meandrites,1.7
Madracis pharensis,24.1
Madracis senaria,34.4
Millepora squarosa,28.1
Mycetophyllia spp.,4.4
Orbicella annularis,13.3
Oculina diffusa,5.1
Orbicella faveolata,12
Orbicella franksi,9.1
Orbicella annularis complex,10.5
Porites astreoides,6.3
Porites branneri,2.5
Porites porites complex,8.5
Pseudodiploria clivosa,5.7
Porites divaricata,8.5
Porites furcata,6.7
Porites porites,8.5
Pseudodiploria sp.,5.5
Pseudodiploria strigosa,5.3
Solenastrea bournoni,14.1
Scolymia spp.,4.4
Scolymia cubensis,4.4
Solenastrea hyades,1.2
Siderastrea sp.,5.3
Stephanocoenia intersepta,5.4
Scolymia lacera,4.4
Solenastrea sp.,6.2
Siderastrea radians,3.2
Siderastrea siderea,7.4
Tubastrea aurea,1.4
Agaricia agaricites,4
Agaricia humilis,4.8
Agaricia undata,4.8
Agaricia tenuifolia,4.8
