location,sub_location,site,year,Acropora_cervicornis,Acropora_palmata,Acropora_prolifera,Agaricia_fragilis,Agaricia_lamarcki,Cladocora_arbuscula,Colpophyllia_natans,Dendrogyra_cylindrus,Dichocoenia_stokesii,Diploria_labyrinthiformis,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_rigida,Isophyllia_sinuosa,Madracis_aurentenra,Madracis_decactis_complex,Manicina_areolata,Meandrina_meandrites,Millepora_alcicornis,Millepora_complanata,Montastraea_cavernosa,Mussa_angulosa,Mycetophyllia_aliciae,Mycetophyllia_ferox,Mycetophyllia_lamarckiana_complex,Oculina_diffusa,Oculina_robusta,Orbicella_annularis_complex,Porites_astreoides,Porites_porites_complex,Pseudodiploria_clivosa,Pseudodiploria_strigosa,Scleractinia,Scolymia_sp,Siderastrea_radians,Siderastrea_siderea,Solenastrea_bournoni,Stephanocoenia_intersepta,Undaria_agaricites_complex
Florida_Keys,DT,Bird_Key_Reef,1999,0,0,0,0,0,0,2.091575,0,0,0.68375,0,0,0,0,0,0,0,0,0,0.703075,0,2.1866,0,0,0.0493,0.098625,0,0,9.22005,1.053325,0.2522,0,0.211875,0.25605,0,0,2.26535,0,0.147925,0.042375
Florida_Keys,DT,Bird_Key_Reef,2000,0.080775,0,0,0,0,0,3.3367,0,0,0.041125,0,0,0,0,0,0,0,0,0,0.327425,0,2.37995,0,0.041125,0.21225,0,0,0,9.991125,0.8559,0.2056,0,0,0.48765,0,0,1.281025,0,0.34885,0.121175
Florida_Keys,DT,Bird_Key_Reef,2001,0.24745,0,0,0,0,0,3.095575,0,0,0.095425,0,0,0,0,0,0,0,0,0,0.533775,0,2.07555,0,0.043175,0.036775,0,0,0,10.9221,1.042225,0.1004,0,0,0.290875,0,0,1.532025,0,0.25385,0.036775
Florida_Keys,DT,Bird_Key_Reef,2002,0.03315,0,0,0,0,0,0.72255,0,0.038575,0,0,0,0,0,0,0,0,0,0.036275,0.303575,0,2.74075,0,0,0,0.036275,0,0,6.126475,1.36135,0.2262,0,0.181425,0.036275,0,0,0.810325,0,0,0
Florida_Keys,DT,Bird_Key_Reef,2003,0.032175,0,0,0,0.032175,0,0.4359,0,0,0.032175,0,0,0,0,0,0,0,0,0,0.7882,0,1.689625,0,0,0.240125,0,0,0,8.05135,1.035875,0.08525,0,0,0.295375,0,0,2.1217,0,0.06435,0.281925
Florida_Keys,DT,Bird_Key_Reef,2004,0.038825,0,0,0,0,0,0.801275,0,0.036225,0,0,0,0,0,0,0,0,0,0.038825,0.42105,0,2.04635,0,0.303875,0.036225,0,0,0,6.73155,0.92105,0,0,0,0.07575,0,0,1.26295,0,0,0.036925
Florida_Keys,DT,Bird_Key_Reef,2005,0,0,0,0,0,0,0.3264,0,0,0.109325,0,0,0,0,0,0,0,0,0,0.3764,0,0.8357,0,0,0,0,0,0,5.643675,1.006025,0.03645,0,0,0.15185,0,0,1.529625,0,0.109325,0.185425
Florida_Keys,DT,Bird_Key_Reef,2006,0,0,0,0,0,0,0.68795,0,0,0.1321,0,0,0,0,0,0,0,0,0,0.181625,0,1.71685,0,0.3058,0,0,0,0,5.4543,0.176125,0.038825,0,0,0,0,0,1.273825,0,0,0
Florida_Keys,DT,Bird_Key_Reef,2007,0.026325,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.0494,0.24385,0,0.830925,0,0.02485,0.2273,0,0,0,5.7854,0.5806,0,0,0,0,0,0,1.160725,0,0.02485,0
Florida_Keys,DT,Bird_Key_Reef,2008,0,0,0,0,0,0,0.7948,0,0,0.0947,0,0,0,0,0,0,0,0,0.04735,0.506625,0,0.609325,0,0.13915,0,0,0,0,6.698675,0.52305,0.05365,0,0,0.05365,0,0,1.458875,0,0,0.023675
Florida_Keys,DT,Bird_Key_Reef,2009,0,0,0,0,0,0,0.43415,0,0,0.131775,0,0,0,0,0,0,0,0,0.022175,0.55575,0,1.5076,0,0.179125,0.025,0,0,0,7.769175,0.303725,0,0,0,0,0,0,1.07155,0,0,0.0529
