location,sub_location,site,year,cyphastrea_ocellina,fungia_scutaria,leptastrea_bottae,leptastrea_purpurea,leptoseris_incrustans,montipora_capitata,montipora_flabellata,montipora_patula,montipora_studeri,pavona_duerdeni,pavona_maldivensis,pavona_varians,pocillopora_damicornis,pocillopora_eydouxi,pocillopora_ligulata,pocillopora_meandrina,porites_brighami,Porites_cf_bernardi,porites_compressa,porites_lobata,porites_lutea,porites_monticulosa,porites_rus,psammocora_nierstraszi,psammocora_stellata,psammocora_verrilli,unknown_coral
Main_Hawaiian_Islands,Hawaii,Kaapuna_10,1999,0,0,0,0.038,0,1.153,0,0.433,0,0,0,0,0,0,0,2.49,0,0,0.025,5.694,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kaapuna_10,2001,0,0,0,0,0,2.771111111,0,0.487777778,0,0,0,0,0,0,0,2.31,0,0,0.073333333,6.488888889,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kaapuna_10,2002,0,0,0,0,0,3.282,0,0.2,0,0,0,0,0,0,0,4.893,0,0,0.4,6.227,0.24,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kaapuna_10,2012,0,0,0,0,0,3.138,0,0.229,0,0,0,0.04,0,0,0,3.248,0,0,0.579,9.147,0.433,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kaapuna_4,1999,0,0,0,0,0,0.212,0.078,0,0,0,0,0.05,0,0,0,4.653,0,0,0,2.717,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kaapuna_4,2001,0,0,0,0.107,0,0.446,0,0.093,0,0,0,0,0,0,0,6.793,0,0,0,3.241,0,0,0,0,0,0,0.014
Main_Hawaiian_Islands,Hawaii,Kaapuna_4,2012,0,0,0,0.2,0,1.162,0,0.464,0,0,0,0.08,0,0,0,7.852,0,0,0,5.894,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kawaihae_10,2001,0,0.14,0,0,0,0.029,0,0.24,0,0,0,0.345,0,0,0,0.069,0,0,25.148,6.059,0,0,0,0,0,0,0.076
Main_Hawaiian_Islands,Hawaii,Kawaihae_10,2002,0,0,0,0,0,0.04,0,0.134,0,0,0,0,0,0,0,0.267,0,0,26.481,5.533,0.013,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kawaihae_10,2012,0,0,0,0,0,0.098,0,0.224,0,0,0,0.466,0.033,0,0,0,0,0,5.846,3.356,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kawaihae_3,2001,0,0,0,0,0,0,0,0.195,0,1.38,0,1.964,0,0,0,0.404,0,0,9.155,7.593,0.053,0,0.013,0,0,0,0.411
Main_Hawaiian_Islands,Hawaii,Kawaihae_3,2002,0,0,0,0.04,0,0,0,0.187,0,0.706,0,0.44,0,0,0,0.467,0,0,7.481,10.055,0.253,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Kawaihae_3,2012,0,0,0,0,0,0,0,0,0,0.916,0,0.477,0,0,0,1.372,0,0,0.857,8.047,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laaloa_10,2000,0,0,0,0,0,0.262,0,0.595,0,0,0,0,0,0,0,2.093,0,0,1.737,35.47,0.043,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laaloa_10,2002,0,0,0,0.075,0,2.304,0,0.226,0,0,0,0.027,0,0,0,2.8,0,0,0.961,31.713,0.466,0,0,0,0,0,0.025
Main_Hawaiian_Islands,Hawaii,Laaloa_10,2010,0,0,0,0,0,2.642,0,0.369,0,0,0,0.206,0,0,0,2.337,0,0,2.786,46.384,0.506,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laaloa_10,2012,0,0,0,0,0,3.418,0,0.254,0,0,0,0.128,0,0,0,1.401,0,0,3.554,50.626,1.473,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laaloa_3,2000,0,0,0,0.298,0,0.124,0,0.648,0.213,0.107,0,0.054,0,0,0,12.448,0,0,0,17.476,0.013,0,0,0,0,0,0.23
Main_Hawaiian_Islands,Hawaii,Laaloa_3,2002,0,0,0,0,0,0.117,0,0.18,0,0,0,0.213,0,0,0,10.798,0,0,0,15.798,0.013,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laaloa_3,2010,0,0,0,0.16,0,0.35,0,0.657,0,0,0,0,0,0,0,12.326,0,0,0,29.756,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laaloa_3,2012,0,0,0,0.04,0,0.536,0,0.175,0,0,0,0.21,0,0,0,8.839,0,0,0.04,40.847,0.073,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laupahoehoe_10,2000,0,0,0,0,0,0,0.98,2.121,0,0,0,0,0,0,0,0.432,0,0,0,6.249,0.32,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laupahoehoe_10,2002,0,0,0,0,0,0.413,0.147,1.866,0,0,0,0,0,0,0,0.773,0,0,0,4,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laupahoehoe_10,2012,0,0,0,0,0,0.889,3.749,3.539,0,0,0,0,0,0,0,1.958,0,0,0,4.174,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laupahoehoe_3,2000,0,0,0,0,0,0.116,0.243,1.394,0,0,0,0.398,0,0,0,2.853,0,0,0.094,6.466,0.038,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laupahoehoe_3,2002,0,0,0,0,0,0.266,0.08,0.92,0,0,0,0.573,0,0.013,0,3.175,0,0,0.426,5.666,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Laupahoehoe_3,2012,0,0,0,0,0,0.738,4.274,2.858,0,0,0,3.636,0,0,0,8.441,0,0,0,6.064,0.464,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Leleiwi_10,2000,0,0,0,0,0,0.574,0.274,1.337,0,0,0,0.396,0,0,0,0.536,0,0,8.573,18.355,1.014,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Leleiwi_10,2002,0,0,0,0,0,0.68,0.36,0.507,0,0,0,0.227,0,0.04,0,1.027,0,0,3.774,17.906,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Leleiwi_10,2012,0,0,0,0,0,0.813,0.379,2.233,0,0,0,1.367,0,0,0,0.733,0,0,7.074,9.399,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Leleiwi_3,2000,0,0,0,0,0,0.05,1.642,0.824,0,0.062,0,0.081,0,0,0,2.332,0,0,0,6.998,0.12,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Leleiwi_3,2002,0,0,0,0,0,0.32,1.76,0.934,0,0,0,0,0,0,0,2.412,0,0,0,6.214,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Leleiwi_3,2012,0.033,0,0,0.123,0,0.883,5.001,2.363,0,0,0,0.299,0,0,0,8.369,0,0,0,9.257,0,0,0,0,0,0,0
Main_Hawaiian_Islands,Hawaii,Nenue_Point_10,1999,0,0,0,0,0,0.149,0.141,0.225,0,0,0,0,0,0,0,1.307,0,0,0.634,13.246,0.047,0,0,0,0,0,0
